"","CRASH.DATE","CRASH.TIME","LATITUDE","LONGITUDE","NUMBER.OF.PERSONS.INJURED","NUMBER.OF.PERSONS.KILLED","CONTRIBUTING.FACTOR.VEHICLE.1","VEHICLE.TYPE.CODE.1","year"
"1","2/1/2024","7:00",40.6843,-73.8222,1,0,"Backing Unsafely","Sedan","2024"
"2","2/2/2024","4:27",40.72277,-73.83625,0,0,"Driver Inattention/Distraction","Sedan","2024"
"3","2/1/2024","18:08",40.759624,-73.99548,1,0,"Unspecified","Bus","2024"
"4","2/4/2024","6:30",40.707043,-73.812164,0,0,"Unspecified","Sedan","2024"
"5","2/7/2024","10:20",40.68979,-73.90655,0,0,"Following Too Closely","Sedan","2024"
"6","2/6/2024","16:08",40.81876,-73.8883,0,0,"Unspecified","Sedan","2024"
"7","2/10/2024","6:48",40.59423,-73.908325,1,0,"Other Vehicular","Sedan","2024"
"8","2/10/2024","0:00",40.732746,-73.70761,1,0,"Unspecified","Sedan","2024"
"9","2/13/2024","13:30",40.75806,-73.81402,0,0,"Unspecified","Sedan","2024"
"10","2/13/2024","20:55",40.678722,-73.952995,0,0,"Failure to Yield Right-of-Way","Sedan","2024"
"11","1/22/2024","8:30",40.74073,-73.91539,0,0,"Turning Improperly","Sedan","2024"
"12","1/3/2024","21:45",40.822487,-73.90827,0,0,"Unspecified","Sedan","2024"
"13","1/20/2024","21:00",40.61054,-74.103455,1,0,"","Station Wagon/Sport Utility Vehicle","2024"
"14","1/21/2024","21:50",40.83784,-73.88533,1,0,"Unspecified","Sedan","2024"
"15","1/19/2024","0:20",40.614246,-74.15379,0,0,"Pavement Slippery","Pick-up Truck","2024"
"16","1/19/2024","10:30",40.683598,-73.727196,0,0,"Unspecified","Sedan","2024"
"17","1/25/2024","8:45",40.661884,-73.87802,0,0,"Unspecified","Sedan","2024"
"18","1/27/2024","6:03",40.838997,-73.91073,1,0,"Failure to Yield Right-of-Way","Van","2024"
"19","1/22/2024","9:45",40.881298,-73.826294,0,0,"Unspecified","Sedan","2024"
"20","1/29/2024","11:46",40.696136,-73.8338,1,0,"Backing Unsafely","Sedan","2024"
"21","1/29/2024","7:15",40.742847,-73.86633,1,0,"Unspecified","Sedan","2024"
"22","1/26/2024","21:03",40.65039,-74.00851,1,0,"Unspecified","MOPED","2024"
"23","1/28/2024","11:50",NA,NA,2,0,"Failure to Yield Right-of-Way","Sedan","2024"
"24","2/17/2024","20:55",40.81339,-73.95627,0,0,"Unspecified","Sedan","2024"
"25","2/7/2024","16:10",40.643826,-73.90044,1,0,"Unsafe Speed","E-Scooter","2024"
"26","2/20/2024","18:25",40.76525,-73.995094,1,0,"","Sedan","2024"
"27","2/20/2024","13:15",40.679787,-73.93844,1,0,"Passing Too Closely","Sedan","2024"
"28","2/18/2024","11:20",40.638878,-74.00605,1,0,"","","2024"
"29","2/20/2024","9:15",40.759422,-73.92747,0,0,"Backing Unsafely","Pick-up Truck","2024"
"30","2/20/2024","19:00",40.873917,-73.90926,0,0,"Unspecified","Sedan","2024"
"31","2/18/2024","10:14",40.83501,-73.90353,1,0,"Driver Inattention/Distraction","Sedan","2024"
"32","2/20/2024","19:30",NA,NA,0,0,"Driver Inattention/Distraction","Box Truck","2024"
"33","2/25/2024","1:30",40.746883,-73.76348,0,0,"Unspecified","Sedan","2024"
"34","2/22/2024","5:23",40.75529,-73.99493,0,0,"Fell Asleep","PK","2024"
"35","2/26/2024","19:57",40.750443,-73.96599,0,0,"Driver Inattention/Distraction","Sedan","2024"
"36","2/16/2024","16:00",40.620335,-74.01816,0,0,"Unspecified","Sedan","2024"
"37","2/16/2024","9:15",40.620712,-73.95764,0,0,"Unspecified","Sedan","2024"
"38","2/12/2024","17:10",40.671406,-73.96133,3,0,"Unspecified","Sedan","2024"
"39","2/15/2024","8:10",40.76432,-73.9772,0,0,"Failure to Yield Right-of-Way","Bus","2024"
"40","2/6/2024","20:25",40.829422,-73.87491,1,0,"Unspecified","Sedan","2024"
"41","2/14/2024","21:38",40.753227,-73.94672,1,0,"Unspecified","Bike","2024"
"42","2/14/2024","19:00",40.64404,-73.99495,0,0,"Unspecified","Sedan","2024"
"43","2/28/2024","22:12",40.80834,-73.92775,1,0,"Unspecified","Sedan","2024"
"44","2/28/2024","8:40",40.8834,-73.89085,0,0,"Unspecified","Sedan","2024"
"45","3/2/2024","12:00",40.89572,-73.89858,0,0,"Unspecified","Sedan","2024"
